time,difference in averages in celcius,standard deviation 1951-1980,standard deviation 1981-2010,p-value,interpretation of the p-value
year,0.7538666666666667,1.443226152294458,1.4423334300130928,1.2394883545479667e-19,True
1,1.2259333333333335,1.894422708901052,1.892905384734154,0.011323787710845166,True
2,0.9998666666666668,2.778297300506193,2.0553342547840945,0.04913264462125805,True
3,0.8807666666666665,1.4222051270239935,1.7029425853178048,0.001269977863692165,True
4,0.4165999999999999,1.2095040402302644,1.357969296412846,0.5583939235085479,True
5,0.5933999999999999,1.2275498016600204,1.4903511830736034,0.06350411859687949,True
6,0.6305000000000001,0.8163922151079644,0.9977620786317525,0.000386296397681471,True
7,0.5910333333333334,0.8071703448192059,0.6791559467456646,6.118095676890228e-05,True
8,0.8032666666666667,0.6319081121668104,0.796445241195038,0.00011545206140959729,True
9,0.5788333333333334,0.6705692573395301,0.833131096126734,0.0012013724625148704,True
10,0.4493666666666666,1.0098350338325341,1.297516106087148,0.7094831140451574,True
11,1.2712,1.6510533099273996,1.3494049968617856,1.1901935558161674e-06,True
12,0.6056333333333335,1.6678927893203048,1.7336100817529747,0.0015030523672781534,True
